gnss_lat,gnss_lon,GPS ALTITUDE (m),true_velocity_kmh,GPS ACCURACY (m),GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE,timestamp,DATE (YYYY-MO-DD HH-MI-SS_SSS),acc_x,acc_y,acc_z,grav_x,grav_y,grav_z,gyro_y,gyro_x,gyro_y,MAGNETIC FIELD X (Î¼T),MAGNETIC FIELD Y (Î¼T),MAGNETIC FIELD Z (Î¼T),ORIENTATION (Yaw) (Â°),ORIENTATION (Pitch) (Â°),ORIENTATION (Roll ) (Â°),gyro_z,true_velocity,gnss_status,true_lat,true_lon
52.55706,-1.45779,148.16,7.37,2,204.25,27 / 27,100020,2019-11-06 10:43:27:363,-2.5978,0.5276,9.5071,-0.0458,0.0029,9.8065,0.049,0.3346,-0.1385,-11.69,-35.5,33.63,359.98,-88.41,-160.58,0.0,7.37,1.0,52.55706,-1.45779
52.557054,-1.4577939,148.16,,2,204.25,27 / 27,100120,2019-11-06 10:43:27:463,0.1353,1.7722,9.0939,0.028,0.0414,9.8064,0.2183,-0.1809,0.0487,-11.75,-35.19,34.0,9.89,-88.4,-150.94,0.0,7.334,1.0,52.557054,-1.4577939
52.557048,-1.4577978,148.16,,2,204.25,27 / 27,100220,2019-11-06 10:43:27:563,1.1784,1.9004,9.0405,0.0202,0.0065,9.8066,-0.1021,-0.0424,0.0582,-11.56,-35.87,34.31,4.6,-88.66,-156.07,0.0,7.298,1.0,52.557048,-1.4577978
52.557042,-1.4578016999999999,148.16,,2,204.25,27 / 27,100320,2019-11-06 10:43:27:663,0.1459,-0.5274,9.1698,0.0385,-0.0132,9.8065,0.0206,0.1649,-0.1094,-11.31,-35.19,34.0,356.55,-88.58,-165.44,0.0,7.2620000000000005,1.0,52.557042,-1.4578016999999999
52.557036000000004,-1.4578056,148.16,,2,204.25,27 / 27,100420,2019-11-06 10:43:27:763,-1.4528,-0.1167,9.2507,0.0209,-0.0007,9.8065,0.0572,0.2368,-0.201,-11.25,-35.06,34.31,356.55,-88.58,-165.44,0.0,7.226,1.0,52.557036000000004,-1.4578056
52.55703,-1.4578095,148.16,,2,204.25,27 / 27,100520,2019-11-06 10:43:27:863,-1.2196,0.2347,10.2096,0.007,0.0225,9.8065,0.0172,-0.1403,0.1136,-11.81,-35.12,34.13,349.99,-88.57,-170.32,0.0,7.1899999999999995,1.0,52.55703,-1.4578095
52.557024,-1.4578134,148.16,,2,204.25,27 / 27,100620,2019-11-06 10:43:27:963,1.483,0.2705,10.1877,0.0257,0.023,9.8065,0.0391,-0.1236,0.0087,-11.19,-34.94,33.5,349.0,-88.83,-172.85,0.0,7.154,1.0,52.557024,-1.4578134
52.557018,-1.4578173,148.16,,2,204.25,27 / 27,100720,2019-11-06 10:43:28:063,0.9132,1.4068,9.6214,0.0133,0.0104,9.8066,-0.0223,0.0517,0.0449,-11.25,-34.87,32.94,349.0,-88.83,-172.85,0.0,7.118,1.0,52.557018,-1.4578173
52.557012,-1.4578212,148.16,,2,204.25,27 / 27,100820,2019-11-06 10:43:28:163,0.1047,0.5031,9.8931,0.0209,-0.0265,9.8065,0.0253,0.1707,-0.1995,-11.44,-35.12,34.38,344.46,-88.87,-177.31,0.0,7.082,1.0,52.557012,-1.4578212
52.557006,-1.4578251,148.16,,2,204.25,27 / 27,100920,2019-11-06 10:43:28:263,-1.5972,-0.7529,9.9804,-0.0035,0.0012,9.8066,-0.0149,-0.0125,-0.0452,-11.44,-35.31,34.56,344.32,-88.64,-177.88,0.0,7.045999999999999,1.0,52.557006,-1.4578251
52.557,-1.457829,148.16,7.01,2,203.11,27 / 27,101020,2019-11-06 10:43:28:363,2.1223,0.3345,9.0831,0.0045,-0.0053,9.8066,0.096,-0.2008,0.1377,-11.5,-35.06,34.56,339.72,-88.62,177.63,0.0,7.01,1.0,52.557,-1.457829
52.556994,-1.457833,148.16,,2,203.11,27 / 27,101120,2019-11-06 10:43:28:463,3.0823,-0.8638,10.0634,0.0332,-0.0024,9.8065,0.0137,0.1291,0.0374,-10.87,-35.06,34.63,339.72,-88.62,177.63,0.0,7.053,1.0,52.556994,-1.457833
52.556988000000004,-1.457837,148.16,,2,203.11,27 / 27,101220,2019-11-06 10:43:28:563,1.5503,-0.7737,9.6239,-0.0077,-0.0399,9.8065,0.0716,0.1878,-0.184,-11.25,-35.31,34.19,333.98,-88.41,172.6,0.0,7.096,1.0,52.556988000000004,-1.457837
52.556982,-1.4578410000000002,148.16,,2,203.11,27 / 27,101320,2019-11-06 10:43:28:663,-1.9035,-1.9711,9.7986,-0.0117,-0.0726,9.8064,0.1476,0.1447,-0.043,-11.37,-34.87,34.44,340.81,-87.9,179.43,0.0,7.139,1.0,52.556982,-1.4578410000000002
52.556976,-1.457845,148.16,,2,203.11,27 / 27,101420,2019-11-06 10:43:28:763,-2.4548,-0.1536,10.422,-0.0079,-0.118,9.8059,0.0352,-0.4375,0.1877,-11.0,-35.25,34.81,340.81,-87.9,179.43,0.0,7.182,1.0,52.556976,-1.457845
52.55697,-1.457849,148.16,,2,203.11,27 / 27,101520,2019-11-06 10:43:28:863,0.6803,1.206,9.9153,0.0172,0.0447,9.8065,-0.0395,-0.1961,0.1589,-11.12,-35.12,35.13,347.02,-87.25,-174.93,0.0,7.225,1.0,52.55697,-1.457849
52.556964,-1.457853,148.16,,2,203.11,27 / 27,101620,2019-11-06 10:43:28:963,1.5333,0.5828,9.6485,-0.002,0.005,9.8066,0.0001,0.1188,-0.1366,-11.37,-34.87,35.19,343.73,-87.66,-178.19,0.0,7.268,1.0,52.556964,-1.457853
52.556958,-1.4578570000000002,148.16,,2,203.11,27 / 27,101719,2019-11-06 10:43:29:062,-0.1376,0.5856,10.4936,-0.0072,0.007,9.8065,-0.0684,0.2677,-0.1351,-11.12,-35.12,34.88,344.5,-87.71,-177.46,0.0,7.311,1.0,52.556958,-1.4578570000000002
52.556951999999995,-1.457861,148.16,,2,203.11,27 / 27,101820,2019-11-06 10:43:29:163,-0.4165,-2.1412,9.9388,-0.0385,-0.0155,9.8065,0.1209,-0.0759,-0.0783,-12.0,-35.06,34.44,344.5,-87.71,-177.46,0.0,7.354,1.0,52.556951999999995,-1.457861
52.556945999999996,-1.457865,148.16,,2,203.11,27 / 27,101920,2019-11-06 10:43:29:263,0.383,-0.7667,10.1753,-0.0487,-0.0042,9.8065,-0.0048,-0.1787,0.1617,-11.19,-34.62,35.19,350.66,-87.67,-171.53,0.0,7.397,1.0,52.556945999999996,-1.457865
52.55694,-1.457869,148.16,7.44,2,204.37,25 / 25,102020,2019-11-06 10:43:29:363,2.1883,-1.0199,9.6547,-0.0345,0.0002,9.8065,0.0168,-0.1989,0.1198,-11.75,-35.37,34.38,353.72,-87.69,-166.59,0.0,7.44,1.0,52.55694,-1.457869
52.556933699999995,-1.4578739,148.16,,2,204.37,25 / 25,102120,2019-11-06 10:43:29:463,2.7418,0.329,8.7574,-0.0069,0.0176,9.8066,-0.0883,0.088,-0.007,-11.5,-34.62,34.5,353.72,-87.69,-166.59,0.0,7.541,1.0,52.556933699999995,-1.4578739
52.5569274,-1.4578788,148.16,,2,204.37,25 / 25,102220,2019-11-06 10:43:29:563,-1.4923,-1.2243,9.3372,-0.0282,-0.0162,9.8066,-0.0158,0.389,-0.2132,-10.75,-34.81,34.19,356.59,-87.8,-165.83,0.0,7.642,1.0,52.5569274,-1.4578788
52.5569211,-1.4578837,148.16,,2,204.37,25 / 25,102320,2019-11-06 10:43:29:663,-2.3992,-1.9379,9.8501,-0.0137,-0.0022,9.8066,-0.0443,0.0468,-0.1029,-11.12,-34.62,34.44,0.52,-87.71,-161.57,0.0,7.743,1.0,52.5569211,-1.4578837
52.5569148,-1.4578886,148.16,,2,204.37,25 / 25,102420,2019-11-06 10:43:29:763,0.0839,-1.1003,9.4134,-0.028,0.066,9.8063,-0.0616,-0.4177,0.3406,-11.62,-33.94,34.06,4.14,-88.08,-156.56,0.0,7.844,1.0,52.5569148,-1.4578886
52.5569085,-1.4578935,148.16,,2,204.37,25 / 25,102520,2019-11-06 10:43:29:863,3.531,0.5145,9.4573,0.0441,0.0778,9.8062,-0.1055,-0.3189,0.1796,-11.69,-33.0,34.31,4.14,-88.08,-156.56,0.0,7.945,1.0,52.5569085,-1.4578935
52.556902199999996,-1.4578984000000001,148.16,,2,204.37,25 / 25,102620,2019-11-06 10:43:29:963,0.2424,-0.7364,8.8125,-0.0044,0.0268,9.8066,-0.1343,0.0967,-0.1457,-11.06,-31.81,33.44,355.07,-88.54,-165.38,0.0,8.046,1.0,52.556902199999996,-1.4578984000000001
52.5568959,-1.4579033000000001,148.16,,2,204.37,25 / 25,102720,2019-11-06 10:43:30:063,-0.4244,-0.4647,8.6947,-0.0027,0.0157,9.8066,0.0813,0.2188,-0.0933,-11.75,-31.37,33.44,354.01,-88.85,-165.9,0.0,8.147,1.0,52.5568959,-1.4579033000000001
52.5568896,-1.4579082,148.16,,2,204.37,25 / 25,102820,2019-11-06 10:43:30:163,-0.5181,-0.871,9.2963,0.0015,0.045,9.8065,-0.1205,0.0449,-0.0774,-11.25,-32.0,33.0,354.01,-88.85,-165.9,0.0,8.248,1.0,52.5568896,-1.4579082
52.5568833,-1.4579131,148.16,,2,204.37,25 / 25,102920,2019-11-06 10:43:30:263,0.7607,-0.8955,9.1621,0.0058,0.0409,9.8066,-0.0633,-0.0661,0.0979,-11.69,-33.81,31.75,353.22,-89.11,-168.25,0.0,8.349,1.0,52.5568833,-1.4579131
